# Cosmological Distances,,,
Redshift,"Wavelength, Lyalpha (nm)","D (comoving Mpc)",Angular scale (kpc / arcsec)
0.23,149.568,940,3.704
0.258,152.9728,1047,4.035
0.285,156.256,1150,4.335
0.335,162.336,1333.8,4.844
0.365,165.984,1442.3,5.123
0.395,169.632,1549.1,5.384
0.422,172.9152,1643.6,5.604
0.452,176.5632,1746.9,5.833
0.482,180.2112,1848.6,6.047
0.51,183.616,1941.8,6.235
0.54,187.264,2040.1,6.423
0.57,190.912,2136.7,6.598
0.603,194.9248,2241,6.778
0.634,198.6944,2337.2,6.935
0.668,202.8288,2440.7,7.094
0.7,206.72,2536.3,7.233
0.735,210.976,2638.8,7.374
0.77,215.232,2739.2,7.503
0.805,219.488,2837.6,7.622
0.842,223.9872,2939.4,7.737
0.85,224.96,2961.2,7.76
