## xgal,ygal,zgal,mgal,rhgas,rhstar,R200,M200,RTopHat,MTopHat 
80.135971,97.487518,14.332013,15858962432.000000,1.574065,2.427557,463.108612,10606722678784.000000,612.988953,12556585402368.000000 
23.713026,68.465271,10.112304,2347858176.000000,0.659618,2.863253,409.996185,7360510164992.000000,554.705505,9304240291840.000000 
90.032310,57.100609,13.795126,1058276736.000000,14.070807,2.586374,75.335060,45665038336.000000,98.240013,51688386560.000000 
65.544632,69.571190,13.531337,29030055936.000000,127.335831,6.599354,237.227737,1425729650688.000000,314.675415,1698716844032.000000 
77.901772,43.305038,12.277478,34741055488.000000,114.538010,5.645707,216.753052,1087537610752.000000,288.513794,1309230759936.000000 
41.381084,58.103451,12.469457,27106445312.000000,129.405457,4.507889,228.531372,1274706132992.000000,301.113678,1488378134528.000000 
30.008121,10.613156,10.963702,13830165504.000000,136.699371,2.630021,218.525040,1114481623040.000000,292.270996,1361110499328.000000 
28.201729,92.966171,10.595074,36433039360.000000,106.379822,5.390013,215.943268,1075398574080.000000,285.012115,1262249181184.000000 
48.400761,98.755028,10.380680,2364889344.000000,9.217073,2.499707,204.935974,919183032320.000000,270.174225,1075188596736.000000 
49.481373,18.261389,10.171123,16753463296.000000,138.396149,2.297472,217.551086,1099502125056.000000,287.681335,1297913610240.000000 
89.130394,69.009033,14.635096,17846222848.000000,118.758141,2.984891,200.731415,863764545536.000000,264.244720,1005765066752.000000 
7.224983,80.926262,11.589320,22594990080.000000,105.123238,3.264206,206.581329,941399932928.000000,269.436340,1066345496576.000000 
47.927166,10.224002,13.427817,20739770368.000000,90.260010,4.244225,200.221207,857135316992.000000,263.837799,1001220407296.000000 
36.757088,97.820152,10.128545,15183779840.000000,96.552422,3.697108,206.286530,937557426176.000000,269.004150,1061120770048.000000 
68.696632,59.386639,12.531292,16273476608.000000,123.428177,3.814481,196.959473,815948693504.000000,259.343109,950948724736.000000 
89.643227,56.560600,14.881269,20042715136.000000,165.219315,3.644237,202.039780,880807510016.000000,262.292786,983783571456.000000 
31.312664,65.723785,10.217219,16991188992.000000,81.633644,3.601251,178.763000,610031108096.000000,237.500031,730342621184.000000 
52.053764,21.059658,11.369078,27148304384.000000,57.860722,5.733537,185.257462,679001784320.000000,242.052383,773064032256.000000 
65.346153,70.614769,12.991442,8433042944.000000,47.000740,4.849104,186.453720,692233633792.000000,244.009750,791959502848.000000 
66.890083,67.973923,12.560037,5683386368.000000,72.949059,4.157760,169.154160,516906975232.000000,236.783691,723729186816.000000 
77.161491,79.997017,11.650802,9721053184.000000,55.729065,3.703486,178.462463,607027855360.000000,234.035080,698757677056.000000 
32.761280,67.364296,10.912930,11968029696.000000,84.889206,3.713503,177.809280,600341741568.000000,231.904419,679919419392.000000 
10.045259,56.116318,14.442953,9209914368.000000,58.432816,3.482035,169.335480,518549831680.000000,223.118484,605532520448.000000 
31.401972,66.689102,14.511847,9582801920.000000,128.949249,3.066018,168.154785,507767685120.000000,221.932419,595974553600.000000 
50.881649,1.369956,13.722960,11658831872.000000,91.003372,4.856214,169.736359,522198548480.000000,220.771378,586572038144.000000 
76.264473,60.410023,11.844481,7420391936.000000,57.050339,4.551030,154.824951,396352094208.000000,204.861069,468659503104.000000 
76.557373,71.120972,12.298817,3161590784.000000,63.164921,3.205318,145.760666,330736664576.000000,196.191483,411649212416.000000 
81.229080,36.226170,10.706313,7121928704.000000,74.503510,4.968724,158.856247,428130041856.000000,211.754028,517603885056.000000 
86.658401,87.426445,13.902802,3190082560.000000,80.378197,2.046974,139.684494,291044851712.000000,186.996689,356461641728.000000 
94.286957,39.905910,10.773454,5543105024.000000,88.839935,3.245625,157.886032,420337025024.000000,207.767273,488938536960.000000 
23.111158,66.039505,10.931337,7650526720.000000,34.305634,2.622785,151.592560,372005666816.000000,198.832855,428541870080.000000 
68.563904,7.819845,12.516782,6350137344.000000,69.581512,2.473978,153.878296,389121703936.000000,201.707031,447358861312.000000 
69.682587,10.680262,12.071898,6266273280.000000,69.664650,3.979823,140.730453,297637314560.000000,190.234161,375271260160.000000 
25.546028,90.858025,12.787503,8512023040.000000,53.835228,4.279445,146.381149,334924054528.000000,194.543396,401410097152.000000 
12.690113,7.772567,13.100400,6647598592.000000,36.724174,3.014332,148.681549,350988894208.000000,193.965622,397828521984.000000 
71.285835,90.498550,10.692810,5627250176.000000,60.713226,3.021295,149.052734,353634058240.000000,196.647018,414549737472.000000 
10.324806,6.888303,13.506146,7984189952.000000,56.434685,3.964947,147.221664,340785037312.000000,192.171875,386908258304.000000 
80.594894,34.736954,10.393149,3951023104.000000,99.644081,3.245180,143.347672,314539474944.000000,191.755753,384397213696.000000 
60.576958,33.020428,14.365845,5775218688.000000,71.123917,2.686167,146.731873,337356095488.000000,192.089279,386380529664.000000 
33.784668,11.270638,10.349154,4801178624.000000,82.267876,2.871027,139.093979,287370280960.000000,187.007263,356501192704.000000 
64.970192,69.893013,13.717116,7146014208.000000,69.497620,2.476916,147.060898,339640549376.000000,190.264389,375493656576.000000 
93.972900,57.866722,12.737453,1504844288.000000,81.774727,2.812295,118.293747,176780591104.000000,162.005936,231799750656.000000 
50.486992,13.584648,12.339082,4754811904.000000,25.716623,4.387300,139.438309,289513766912.000000,180.775009,322024505344.000000 
44.097870,80.574455,14.496758,2749184000.000000,55.122089,5.867741,129.243149,230552961024.000000,170.089325,268247302144.000000 
1.804272,52.586143,10.570296,2543543040.000000,35.804115,3.420942,137.628601,278382411776.000000,181.899139,328098709504.000000 
67.070427,10.481925,14.152713,2121411456.000000,36.111763,2.112476,133.814087,255905415168.000000,176.894150,301766279168.000000 
89.291351,58.122402,13.640738,6057768448.000000,29.955341,2.698773,135.675095,266722820096.000000,177.071594,302666219520.000000 
83.154388,41.103645,10.641127,2860139264.000000,39.395889,3.290304,132.702744,249572179968.000000,174.780319,291071459328.000000 
