# wavelength (nm)         flux (photon / s/ m^2 / nm / arcsec^2)
651.06                    0.4640
651.33                    0.4703
651.59                    0.4658
651.86                    0.4611
652.12                    0.4647
652.39                    0.4729
652.65                    0.4753
652.92                    0.4753
653.18                    0.4739
653.45                    0.4806
653.71                    0.4848
653.98                    0.4937
654.25                    0.4958
654.51                    0.4845
654.78                    0.4887
655.04                    0.5453
655.31                    0.5547
655.57                    0.5547
655.84                    0.4976
656.10                    0.4889
656.37                    0.4716
656.63                    0.5385
656.90                    0.5485
657.16                    0.5556
657.43                    0.5179
657.69                    0.5079
657.96                    0.5077
658.23                    0.4743
658.49                    0.4805
658.76                    0.4751
659.02                    0.4724
659.29                    0.4719
659.55                    0.4723
659.82                    0.4728
660.08                    0.4742
